videoid,videoname,channelid,channelname,views,comments,likes,dislikes,adtype,advertiser,adfullurl,datecollected,dateuploaded,uploadts,testid,dataset
bu6KZWw8yXs,,,,,,,,,,,1632413173,,,20210923155902,cur
9Unh8WhIjKc,,,,,,,,,,,1632413177,,,20210923155902,cur
0N64V6tjdzs,,,,,,,,,,,1632413180,,,20210923155902,cur
-WuU1rH4o0Q,,,,,,,,,,,1632413209,,,20210923155902,cur
-KS3wTC4xsI,,,,,,,,,,,1632413212,,,20210923155902,cur
Aecfcxtyld8,,,,,,,,,,,1632413216,,,20210923155902,cur
Eh0Tiy5RPkM,,,,,,,,,,,1632413261,,,20210923155902,cur
6LVbb5r_52g,,,,,,,,,,,1632413277,,,20210923155902,cur
-JycQjv1n7Q,,,,,,,,,,,1632413310,,,20210923155902,cur
9Pgy5EbdXoc,,,,,,,,,,,1632413314,,,20210923155902,cur
CZxl3DCFgIk,,,,,,,,,,,1632413344,,,20210923155902,cur
to7v8Ndz5Dk,,,,,,,,,,,1632413359,,,20210923155902,cur
-fL3wbanysg,,,,,,,,,,,1632413375,,,20210923155902,cur
fIVcET2WWMA,,,,,,,,,,,1632413405,,,20210923155902,cur
DEhIUtfvObI,,,,,,,,,,,1632413420,,,20210923155902,cur
DD7DnV_BP1c,,,,,,,,,,,1632413424,,,20210923155902,cur
gDTK5vOebiY,,,,,,,,,,,1632413466,,,20210923155902,cur
erGepahfh5s,,,,,,,,,,,1632413469,,,20210923155902,cur
SH-MGnOG_O0,,,,,,,,,,,1632413472,,,20210923155902,cur
uwW6MeAvOQE,,,,,,,,,,,1632413501,,,20210923155902,cur
S18T9ycDPPM,,,,,,,,,,,1632413518,,,20210923155902,cur
-oC9zwAruQQ,,,,,,,,,,,1632413547,,,20210923155902,cur
AUeO6K3IKb8,,,,,,,,,,,1632413551,,,20210923155902,cur
dyMTkDOiKPM,,,,,,,,,,,1632413582,,,20210923155902,cur
bsbC2K0ef50,,,,,,,,,,,1632413671,,,20210923155902,cur
-mclJppuskQ,,,,,,,,,,,1632413689,,,20210923155902,cur
YPBKayFr5CM,,,,,,,,,,,1632413705,,,20210923155902,cur
5oiata85cko,,,,,,,,,,,1632413715,,,20210923155902,cur
AqYpT98DAYE,,,,,,,,,,,1632413718,,,20210923155902,cur
hU6SjSRyRoE,,,,,,,,,,,1632413734,,,20210923155902,cur
-F7jRfxuqn4,,,,,,,,,,,1632413751,,,20210923155902,cur
F2xek-6sqkk,,,,,,,,,,,1632413780,,,20210923155902,cur
l70hlKrmnx0,,,,,,,,,,,1632413783,,,20210923155902,cur
eTU_ujHvbmw,,,,,,,,,,,1632413787,,,20210923155902,cur
gUwKIkDZiMw,,,,,,,,,,,1632413804,,,20210923155902,cur
8weCONGLfVc,,,,,,,,,,,1632413807,,,20210923155902,cur
eDO8xCcKO0s,,,,,,,,,,,1632413849,,,20210923155902,cur
Lud9cMxisCU,,,,,,,,,,,1632413866,,,20210923155902,cur
7Vk5Oikb-70,,,,,,,,,,,1632413935,,,20210923155902,cur
JOgvvs5-2y4,,,,,,,,,,,1632413951,,,20210923155902,cur
5SvyPSv7YN8,,,,,,,,,,,1632413980,,,20210923155902,cur
5GQmXl_zBYU,,,,,,,,,,,1632414009,,,20210923155902,cur
cEBlCBoE3Xc,,,,,,,,,,,1632414013,,,20210923155902,cur
3t7hpk6eCzw,,,,,,,,,,,1632414042,,,20210923155902,cur
3MgGbobzjuA,,,,,,,,,,,1632414045,,,20210923155902,cur
2l6qq_J2lbY,,,,,,,,,,,1632414061,,,20210923155902,cur
